Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
air fryer,Transactional,301000,"0.67,0.54,0.54,0.54,0.67,0.67,0.67,0.67,1.00,1.00,1.00,0.67",75,0.28,"Sitelinks, Image, Video, People also ask, Buying guide, Related searches, Popular products"
ninja air fryer,"Informational, Transactional",135000,"0.44,0.44,0.55,0.44,0.55,0.44,0.55,0.67,0.82,1.00,0.67,0.55",52,0.29,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
midea air fryer,"Informational, Transactional",74000,"0.01,0.00,0.01,0.01,0.02,0.16,0.24,0.54,0.81,1.00,0.81,0.67",31,0.19,"Reviews, Image, Video, Discussions and forums, Related searches, Popular products"
gourmia air fryer,Commercial,60500,"0.37,0.37,0.37,0.44,0.54,0.44,0.44,0.54,1.00,1.00,0.54,0.54",58,0.21,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Things to know"
emeril lagasse air fryer,"Informational, Transactional",33100,"0.55,0.55,0.55,0.45,0.55,0.55,0.55,0.55,0.82,1.00,0.67,0.55",51,0.37,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
air fryers,Commercial,27100,"0.44,1.00,0.25,0.25,0.37,0.37,0.37,0.37,0.54,0.54,0.44,0.37",72,0.28,"Image, Video, People also ask, Buying guide, Related searches, Popular products"
cuisinart air fryer,"Informational, Transactional",27100,"0.54,0.44,0.37,0.37,0.44,0.44,0.44,0.54,1.00,1.00,0.67,0.44",45,0.24,"Image, Video, People also ask, Related searches, Popular products"
ninja foodi air fryer,"Navigational, Transactional",22200,"0.36,0.45,0.45,0.55,0.82,0.45,0.55,0.66,0.82,1.00,0.66,0.55",53,0.25,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
powerxl air fryer,"Informational, Transactional",22200,"0.67,0.25,0.54,0.83,1.00,0.83,0.67,0.54,1.00,1.00,1.00,0.67",13,0.26,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
air fryer liners,Commercial,18100,"0.81,0.54,0.81,0.81,1.00,0.67,0.67,1.00,0.81,0.67,0.81,0.67",35,0.43,"Sitelinks, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products"
air fryer toaster oven,Commercial,18100,"0.44,0.30,0.30,0.44,0.30,0.54,1.00,1.00,0.67,0.67,0.36,0.20",60,0.33,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products"
power xl air fryer,"Informational, Transactional",18100,"0.53,1.00,0.53,0.27,0.27,0.33,0.20,0.23,0.27,0.27,0.27,0.23",29,0.26,"Image, Image pack, Video, People also ask, Related searches, Popular products"
toaster oven air fryer,Commercial,18100,"0.55,0.55,0.55,0.67,0.44,0.55,0.82,0.82,1.00,0.82,0.82,0.82",60,0.35,"Sitelinks, Reviews, Image, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products"
chefman air fryer,"Informational, Transactional",14800,"0.66,0.82,0.66,0.82,0.66,0.82,0.66,0.82,0.82,1.00,0.82,0.66",27,0.24,"Image, Video, People also ask, Related searches, Popular products"
glass air fryer,Commercial,14800,"0.10,0.08,0.07,0.19,0.54,0.44,0.54,0.36,0.67,1.00,0.81,1.00",37,0.26,"Sitelinks, Reviews, Video, People also ask, Related searches, Popular products, Shopping ads"
instant pot air fryer,"Informational, Transactional",14800,"1.00,0.62,0.62,0.62,0.77,0.77,0.62,0.62,1.00,1.00,0.77,0.62",45,0.24,"Sitelinks, Video, People also ask, Recipes, Related searches"
non toxic air fryer,Commercial,14800,"0.19,0.24,0.10,0.29,0.36,0.54,0.54,0.54,1.00,1.00,1.00,0.81",22,0.43,"Sitelinks, Reviews, Video, People also ask, Related searches"
stainless steel air fryer,Commercial,14800,"0.66,0.54,0.54,0.66,1.00,0.81,0.54,0.54,0.81,1.00,0.81,0.66",33,0.27,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
air fryer brats,"Informational, Commercial",12100,"0.36,0.36,1.00,1.00,0.66,0.81,1.00,0.54,0.66,0.66,0.81,1.00",41,0.00,"Sitelinks, Image, Video, Short videos, People also ask, Recipes, Related searches"
air fryer oven,Commercial,12100,"0.45,0.45,0.55,0.66,0.66,0.66,0.55,0.66,1.00,1.00,1.00,0.82",49,0.51,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
breville air fryer,Commercial,12100,"0.54,0.54,0.44,0.44,0.81,0.81,0.54,0.54,1.00,1.00,1.00,0.67",64,0.41,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
cuisinart air fryer toaster oven,"Informational, Transactional",12100,"0.66,0.55,0.45,0.36,0.45,0.55,0.55,0.66,1.00,1.00,0.55,0.45",45,0.32,"Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
