Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
ninja blender,"Informational, Transactional",135000,"0.54,0.54,0.54,0.54,0.54,0.67,0.54,0.54,0.82,1.00,0.67,0.67",56,0.30,"Image, Video, People also ask, Related searches, Popular products"
immersion blender,Commercial,74000,"0.36,0.36,0.36,0.36,0.36,0.44,0.54,0.67,1.00,1.00,0.67,0.44",72,0.45,"Sitelinks, Image, Video, People also ask, Buying guide, Related searches"
vitamix blender,Commercial,49500,"0.67,0.67,0.67,0.67,0.67,0.81,0.67,0.67,0.81,1.00,0.81,0.54",67,0.42,"Sitelinks, Reviews, Image, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
nutribullet blender,"Navigational, Transactional",27100,"0.36,0.67,0.67,0.67,0.81,0.81,0.67,0.67,0.81,1.00,0.81,0.67",61,0.46,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
beast blender,"Informational, Transactional",22200,"1.00,1.00,0.81,0.81,0.66,0.66,0.66,0.66,0.81,1.00,0.81,0.81",56,0.59,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products"
beauty blender,Commercial,22200,"0.67,1.00,0.81,0.81,0.67,0.67,0.81,0.67,1.00,1.00,1.00,0.54",36,0.82,"Sitelinks, Image, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
hand blender,Commercial,22200,"0.54,0.36,0.54,0.54,0.54,0.54,0.81,0.81,1.00,0.67,0.67,0.44",53,0.34,"Reviews, Image, Video, Short videos, People also ask, Related searches, Popular products, Things to know"
magic bullet blender,"Informational, Commercial",22200,"0.67,0.67,0.67,0.83,0.83,0.67,0.67,0.54,0.83,1.00,0.83,0.54",50,0.31,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
blend door actuator,"Informational, Commercial",14800,"0.54,0.54,0.66,1.00,0.81,0.81,0.66,0.81,1.00,1.00,1.00,0.81",32,0.30,"Sitelinks, Reviews, Video, People also ask, Related searches, Things to know"
emulsion blender,Commercial,14800,"0.44,0.24,0.44,0.36,0.16,0.44,0.44,0.24,1.00,0.81,0.36,0.29",59,0.34,"Sitelinks, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
pastry blender,"Informational, Commercial",14800,"0.44,0.36,0.29,0.24,0.24,0.36,0.66,0.66,1.00,0.81,0.54,0.44",44,0.26,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
food processor vs blender,Commercial,12100,"0.66,0.54,0.66,0.54,0.54,0.66,0.66,0.66,1.00,1.00,0.81,0.66",65,0.12,"Sitelinks, AI Overview, Video, People also ask, Related searches"
ninja smoothie blender,"Informational, Transactional",12100,"0.29,0.29,0.44,0.36,0.44,0.44,0.54,0.54,0.81,1.00,0.66,0.54",34,0.29,"Image, Video, People also ask, Related searches, Popular products"
portable blender,Commercial,12100,"1.00,0.82,0.66,0.82,1.00,0.82,0.55,0.43,0.82,1.00,0.66,0.66",47,0.38,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
blended learning dcps,"Informational, Transactional",9900,"0.66,1.00,0.54,0.05,0.05,0.54,0.54,0.81,0.81,0.54,0.44,0.29",18,2.43,"Image pack, Video, People also ask, Related searches"
blendtec blender,"Informational, Transactional",9900,"0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.81,1.00,1.00,1.00,0.81",52,0.27,"Image, Image pack, Video, People also ask, Related searches, Popular products"
bullet blender,"Informational, Commercial",9900,"0.67,0.67,0.67,0.67,0.81,0.81,0.54,0.54,0.81,1.00,0.81,0.67",61,0.40,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
kitchenaid blender,"Informational, Transactional",9900,"0.81,1.00,0.81,1.00,1.00,1.00,0.67,0.67,1.00,1.00,0.81,0.67",33,0.31,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
ninja blender replacement parts,"Navigational, Transactional",9900,"0.44,0.36,0.54,0.54,0.66,0.29,0.44,0.66,1.00,0.66,0.44,0.29",38,0.37,"Image, Video, People also ask, Related searches, Popular products"
smoothie blender,Commercial,9900,"1.00,0.54,0.81,0.54,1.00,0.81,0.67,0.81,0.54,0.54,1.00,0.81",48,0.37,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
blended family,"Informational, Commercial",8100,"1.00,1.00,1.00,0.67,0.54,0.81,1.00,1.00,0.81,0.81,0.81,0.81",51,0.42,"Instant answer, Image, Video, People also ask, Knowledge panel, Related searches, Things to know"
hamilton beach blender,"Informational, Transactional",8100,"0.66,0.23,0.66,0.54,0.66,0.54,0.66,0.54,0.81,1.00,0.66,0.44",28,0.31,"Image, Video, Related searches, Popular products"
ninja blender parts,"Navigational, Transactional",8100,"0.54,0.66,0.54,0.81,0.66,0.54,0.81,0.54,0.81,1.00,0.66,0.44",33,0.37,"Reviews, Image, Image pack, Video, Related searches, Popular products"
ninja portable blender,"Informational, Transactional",8100,"0.44,0.24,0.36,0.24,0.54,0.54,0.44,0.44,0.36,1.00,0.66,0.44",43,0.62,"Image, Video, Short videos, People also ask, Related searches, Popular products"
osterizer blender,"Informational, Transactional",8100,"0.66,1.00,0.36,0.44,0.54,0.66,0.36,0.36,0.24,0.54,0.44,0.06",22,0.21,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
personal blender,Commercial,8100,"1.00,0.67,0.54,0.67,1.00,0.81,0.67,0.54,0.81,1.00,1.00,0.54",60,0.52,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
mini blender,Commercial,6600,"1.00,0.82,0.82,1.00,0.82,0.82,0.67,0.67,1.00,1.00,0.82,0.82",51,0.39,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
ninja professional blender,"Informational, Transactional",6600,"0.54,0.44,0.54,0.54,0.54,0.54,0.44,0.44,0.54,1.00,0.67,0.67",50,0.27,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
small blender,Commercial,6600,"1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,1.00,0.81,0.81,1.00",52,0.36,"Image, Video, People also ask, Related searches, Popular products"
vita mix blender,Commercial,6600,"1.00,0.54,0.66,0.29,0.44,0.44,0.23,0.15,0.54,0.81,0.44,0.66",74,0.42,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
vitamix immersion blender,Commercial,6600,"0.36,0.24,0.24,0.44,0.36,0.29,1.00,1.00,0.81,0.66,0.36,0.24",50,0.43,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Shopping ads"
walmart blender,"Navigational, Transactional",6600,"0.54,1.00,0.44,0.44,1.00,1.00,0.81,0.67,0.81,0.81,0.81,0.54",33,0.13,"Sitelinks, Image, Video, Related searches, Popular products"
blend jet,Commercial,5400,"1.00,0.35,0.15,0.20,0.15,0.10,0.20,0.20,0.10,0.25,0.15,0.25",48,0.68,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
blender for smoothies,Commercial,5400,"0.44,1.00,0.44,0.66,0.54,0.29,0.44,0.54,0.29,0.29,0.44,0.15",69,0.37,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches"
cuisinart immersion blender,"Informational, Transactional",5400,"0.23,0.23,0.19,0.19,0.19,0.19,0.29,0.66,1.00,0.81,0.54,0.36",38,0.30,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
ninja blender food processor,Commercial,5400,"0.29,0.36,0.29,0.23,0.36,0.29,0.29,0.23,0.66,1.00,0.66,0.54",41,0.28,"Reviews, Image, Video, People also ask, Related searches, Popular products"
nutri bullet blender,Commercial,5400,"0.67,0.54,0.54,0.54,0.67,0.67,0.54,0.67,0.81,1.00,0.67,0.54",60,0.46,"Reviews, Image, Video, People also ask, Related searches, Popular products"
blender bottles,Transactional,4400,"0.81,0.36,0.44,0.54,0.23,0.36,0.54,0.44,0.36,1.00,0.30,0.30",37,0.78,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
blender vs food processor,Commercial,4400,"0.66,0.29,0.54,0.54,0.66,0.66,0.54,0.54,0.54,0.66,1.00,0.29",59,0.12,"Sitelinks, AI Overview, Video, People also ask, Related searches"
cuisinart blender,"Navigational, Transactional",4400,"0.67,0.67,0.81,0.67,0.81,0.67,0.67,0.67,1.00,1.00,0.81,0.67",24,0.29,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
dcps blended learning,"Informational, Transactional",4400,"0.44,0.82,0.24,0.05,0.03,0.18,0.29,0.55,1.00,0.44,0.29,0.44",15,2.43,"Sitelinks, Image pack, Video, Related searches"
dr marty nature's blend,"Informational, Transactional",4400,"1.00,0.54,0.43,0.81,0.54,0.81,0.54,0.28,0.54,0.66,0.66,0.36",33,2.57,"Sitelinks, Image pack, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, Related products"
glass blender,Commercial,4400,"0.54,0.54,0.35,0.29,0.54,0.54,0.44,0.66,0.81,1.00,0.81,0.81",41,0.31,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads"
hvac blend door actuator,"Informational, Commercial",4400,"0.82,0.67,0.29,0.82,0.55,0.67,0.67,1.00,0.67,0.55,1.00,0.11",32,0.30,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Things to know"
joseph magnus cigar blend,Commercial,4400,"0.82,0.82,0.67,0.67,1.00,0.82,0.67,0.67,0.82,1.00,0.67,0.53",16,0.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Things to know"
kitchen aid blender,"Navigational, Transactional",4400,"1.00,0.35,0.67,0.67,1.00,1.00,0.54,0.43,0.67,0.67,0.43,0.54",37,0.31,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
kitchenaid immersion blender,"Navigational, Transactional",4400,"0.29,0.29,0.29,0.29,0.29,0.29,0.44,0.54,1.00,1.00,0.54,0.44",49,0.34,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
nature's blend dog food,"Informational, Transactional",4400,"0.35,0.35,0.29,0.54,0.66,0.81,0.54,0.35,0.35,0.54,1.00,0.54",22,1.73,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
ninja blender and food processor,"Informational, Transactional",4400,"0.36,0.44,0.44,0.29,0.36,0.36,0.36,0.36,0.81,1.00,0.66,0.19",41,0.28,"Image, Video, Short videos, People also ask, Related searches, Popular products"
ninja professional blender 1000,"Informational, Transactional",4400,"0.81,1.00,1.00,1.00,0.67,0.67,0.44,0.54,1.00,1.00,0.67,0.67",41,0.21,"Sitelinks, Reviews, Image, Video, People also ask, Knowledge panel, Related searches, Related products"
princess house blender,"Informational, Transactional",4400,"0.36,0.36,0.36,0.29,0.36,0.29,0.29,0.44,0.54,1.00,0.44,0.44",28,0.07,"Image, Image pack, Video, People also ask, Related searches, Popular products"
red blend wine,Commercial,4400,"0.54,0.43,0.54,0.67,0.43,0.54,1.00,1.00,1.00,1.00,0.54,0.54",16,0.68,"Reviews, Image, Video, People also ask, Explore brands, Related searches, Popular products"
smeg blender,Transactional,4400,"0.66,0.66,0.66,0.66,0.66,0.66,0.53,0.66,0.81,1.00,0.81,0.81",29,0.31,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
stick blender,Commercial,4400,"0.66,0.54,0.43,0.54,0.54,0.66,0.81,0.66,1.00,1.00,0.81,0.66",60,0.35,"Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
tranquil blend cbd gummies,Commercial,4400,"0.36,1.00,0.81,0.24",25,0.00,"Sitelinks, Image pack, People also ask, Related searches"
blender walmart,"Navigational, Transactional",3600,"0.53,0.44,0.53,0.67,0.53,0.19,0.44,0.81,0.28,0.67,1.00,0.22",34,0.13,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
blending stump,"Informational, Commercial",3600,"0.53,0.44,0.35,0.66,0.44,1.00,0.81,0.53,0.53,0.81,1.00,0.44",29,0.34,"Image, Video, People also ask, Related searches, Popular products, Things to know"
dr. marty nature's blend,"Informational, Transactional",3600,"0.44,0.36,1.00,0.36,0.82,0.29,0.29,0.55,0.55,0.67,1.00,0.36",26,2.57,"Image pack, Video, People also ask, Knowledge panel, Related searches, Related products, Shopping ads"
emersion blender,Commercial,3600,"1.00,0.36,0.54,0.30,0.44,0.23,0.30,0.67,0.81,0.44,0.36,0.12",49,0.45,"Sitelinks, Image, Video, People also ask, Buying guide, Related searches, Popular products"
good blender for smoothies,Commercial,3600,"0.36,0.13,0.66,0.03,0.36,0.44,0.10,0.66,0.24,1.00,0.36,0.03",53,0.44,"Sitelinks, Reviews, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products"
imersion blender,Commercial,3600,"0.36,0.36,0.44,0.20,0.29,1.00,0.55,0.44,0.67,0.67,0.67,0.36",58,0.45,"Sitelinks, Image, Video, People also ask, Buying guide, Related searches, Popular products"
margaritaville blender,"Informational, Transactional",3600,"0.43,0.54,0.81,1.00,0.81,0.54,0.54,0.43,0.54,0.67,0.36,0.36",49,0.23,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
natures blend,"Informational, Commercial",3600,"1.00,0.20,0.81,0.30,0.44,0.67,0.16,0.44,0.20,0.67,0.44,0.16",26,2.33,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches, Popular products"
nija blender,"Informational, Transactional",3600,"0.81,0.67,0.54,0.43,0.43,0.36,0.28,0.23,0.67,1.00,0.43,0.09",40,0.30,"Image, Video, People also ask, Related searches, Popular products"
ninja blender cups,"Informational, Transactional",3600,"1.00,1.00,0.80,1.00,1.00,1.00,0.80,0.66,0.80,1.00,1.00,0.66",34,0.27,"Image, Image pack, Video, People also ask, Related searches, Popular products"
ninja bullet blender,"Informational, Transactional",3600,"0.28,0.36,0.54,0.54,0.66,0.54,0.54,0.43,0.81,1.00,0.81,0.66",42,0.27,"Image, Video, People also ask, Related searches, Popular products"
ninja personal blender,"Informational, Transactional",3600,"0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.36,0.81,1.00,0.81,0.43",59,0.60,"Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know"
the beast blender,Commercial,3600,"1.00,0.81,1.00,0.81,0.81,0.81,0.81,1.00,0.81,1.00,0.81,1.00",53,0.59,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products"
amazing grass greens blend,"Informational, Transactional",2900,"0.80,0.80,0.67,0.80,1.00,1.00,1.00,0.80,0.67,0.67,1.00,1.00",45,0.90,"Image, Video, Short videos, People also ask, Knowledge panel, Related searches, Related products"
bklyn blend,"Navigational, Commercial",2900,"1.00,0.81,0.10,0.44,0.23,0.04,0.04,1.00,0.44,1.00,0.19,0.12",48,0.78,"Sitelinks, Video, Local pack, Related searches"
blend door actuator camaro 2014 lt,Commercial,2900,"1.00,0.00",23,0.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
blend on main,"Informational, Transactional",2900,"0.65,0.65,0.65,1.00,0.65,1.00,0.65,0.54,0.54,0.65,0.65,0.65",43,0.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Knowledge panel"
blender food processor combo,Commercial,2900,"0.36,0.15,0.19,0.24,0.28,0.54,0.81,1.00,0.43,0.54,0.28,0.36",34,0.32,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
blender for sale,Transactional,2900,"0.65,0.43,0.54,1.00,0.81,0.81,0.36,0.54,0.81,1.00,0.65,0.10",31,0.27,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
blender hamilton beach,"Informational, Transactional",2900,"0.81,1.00,0.54,0.36,0.01,0.28,0.15,0.24,0.36,0.36,0.28,0.07",26,0.31,"Image, Video, Discussions and forums, Related searches, Popular products"
blender near me,Transactional,2900,"1.00,0.44,0.44,0.44,0.66,0.35,0.24,0.53,0.81,1.00,0.44,0.66",44,0.78,"Sitelinks, Reviews, Image, Video, People also ask, Local pack, Related searches, Popular products"
breville blender,"Informational, Transactional",2900,"0.54,0.65,1.00,1.00,0.81,0.54,0.54,0.54,0.81,0.81,0.81,0.81",41,0.27,"Reviews, Image, Video, People also ask, Related searches, Popular products"
cat in blender video,"Informational, Transactional",2900,"0.00,1.00,0.50,0.50,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00",24,0.00,
clevr blends,Commercial,2900,"0.82,0.66,0.55,0.43,0.43,0.82,0.82,1.00,0.66,0.82,0.55,1.00",43,1.80,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Shopping ads"
commercial blender,Commercial,2900,"0.66,0.80,0.66,0.66,0.80,0.80,0.80,1.00,0.80,0.66,0.80,0.66",32,0.97,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Shopping ads"
good blender,Commercial,2900,"0.08,0.12,0.04,0.19,0.01,0.01,0.44,0.03,0.24,0.03,1.00,0.24",57,0.40,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
grey blending,Commercial,2900,"0.29,0.44,0.54,0.29,0.29,0.54,0.29,0.44,0.23,0.29,0.35,1.00",28,0.35,"Sitelinks, Image, Video, Short videos, People also ask, Related searches, Popular products, Things to know"
high speed blender button,"Informational, Commercial",2900,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",16,0.00,"Reviews, Image pack, Video, People also ask, Related searches, Popular products"
immersion blending,Commercial,2900,"0.28,0.02,0.19,0.03,0.43,0.81,0.66,0.54,1.00,0.43,0.81,0.01",66,0.35,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Popular products"
kitchenaid hand blender,"Informational, Transactional",2900,"0.29,0.23,0.29,0.29,0.23,0.29,0.29,0.35,0.54,1.00,0.35,0.29",35,0.24,"Reviews, Image, Video, People also ask, Related searches"
margarita blender,Commercial,2900,"0.44,0.66,0.44,1.00,0.66,0.53,0.44,0.29,0.44,0.66,0.35,0.35",49,0.23,"Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products, Things to know"
mexican blend cheese,"Informational, Commercial",2900,"0.54,0.54,0.43,0.54,0.54,0.65,0.65,0.81,1.00,0.81,0.54,0.65",22,1.47,"Reviews, Video, People also ask, Related searches, Popular products, Things to know"
nature's blend,"Informational, Commercial",2900,"0.35,0.66,0.44,0.44,0.66,1.00,0.24,0.29,0.35,0.44,0.53,0.35",32,1.26,"Sitelinks, Reviews, Video, People also ask, Related searches"
ninja auto iq blender,"Informational, Transactional",2900,"0.54,0.54,0.43,0.54,0.65,1.00,0.81,0.54,0.81,1.00,0.81,0.65",41,0.32,"Image pack, Video, People also ask, Knowledge panel, Related searches, Related products"
ninja immersion blender,Commercial,2900,"0.10,0.13,0.13,0.08,0.10,0.19,1.00,0.54,0.36,0.29,0.13,0.10",48,0.29,"Image, Video, People also ask, Related searches, Popular products"
ninja pro blender,"Informational, Transactional",2900,"0.67,0.54,0.28,0.24,0.15,0.24,0.19,0.28,1.00,0.43,0.24,0.28",62,0.27,"Reviews, Image, Video, People also ask, Related searches, Popular products"
