Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
bread maker,Commercial,60500,"0.36,0.30,0.30,0.45,0.55,0.45,0.45,0.45,0.67,0.82,1.00,0.55",62,0.21,1.00,"Sitelinks, Image, Video, People also ask, Buying guide, Discussions and forums, Related searches, Popular products",0
zojirushi bread maker,Commercial,12100,"0.44,0.44,0.54,0.54,0.54,0.54,0.54,0.81,1.00,0.81,0.81,0.66",51,0.41,1.00,"Sitelinks, Image, Video, People also ask, Recipes, Discussions and forums, Related searches, Popular products",959000
bread maker machine,Commercial,8100,"0.54,0.44,0.30,0.36,0.36,0.44,1.00,1.00,0.54,0.54,0.44,0.30",62,0.24,1.00,"Sitelinks, Image, Video, People also ask, Buying guide, Discussions and forums, Related searches, Popular products",76500000
cuisinart bread maker,Commercial,8100,"0.44,0.36,0.36,0.36,0.36,0.44,0.44,0.54,0.81,1.00,0.81,0.54",41,0.24,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Things to know",5550000
bread make it with you,"Informational, Transactional",5400,"0.55,0.67,0.55,0.35,0.55,0.67,0.67,0.55,0.67,0.82,1.00,1.00",53,0.00,0.00,"Video, People also ask, Knowledge panel, Related searches",1190000000
cuisinart bread maker recipes,"Informational, Transactional",4400,"0.44,0.35,0.29,0.35,0.29,0.44,0.44,0.44,0.54,1.00,0.81,0.54",33,0.03,0.33,"Sitelinks, Video, Recipes, Related searches",3920000
bread machine maker,Transactional,3600,"0.82,0.53,0.24,0.12,0.05,0.44,1.00,0.67,0.82,1.00,0.67,0.03",55,0.21,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",69700000
hamilton beach bread maker,"Informational, Transactional",2900,"0.65,0.55,0.55,0.42,0.55,0.65,0.65,0.65,0.82,0.82,1.00,0.82",34,0.26,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",3150000
oster bread maker,Commercial,2900,"0.81,0.65,0.54,0.43,0.54,0.81,0.81,0.54,0.81,0.65,0.65,1.00",31,0.22,1.00,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Recipes, Related searches, Popular products",1650000
breville bread maker,Commercial,1900,"0.45,0.83,0.45,0.45,0.45,0.55,1.00,0.83,0.83,1.00,0.65,0.45",38,0.24,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",3110000
make it with you bread,"Informational, Transactional",1900,"0.23,0.08,0.15,1.00,0.55,0.29,0.36,0.55,0.65,0.36,0.55,0.23",51,0.00,0.00,"Video, People also ask, Knowledge panel, Related searches",1150000000
oster bread maker recipes,"Informational, Transactional",1900,"0.66,0.55,0.45,0.45,0.45,0.45,0.45,0.45,0.66,0.83,1.00,0.83",35,0.04,0.11,"Sitelinks, Image, Video, People also ask, Recipes, Related searches",98
panasonic bread maker,"Informational, Transactional",1900,"0.36,0.27,0.36,0.27,0.80,0.44,1.00,1.00,0.52,0.66,1.00,0.52",37,0.27,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",3260000
bread maker mixes,Commercial,1600,"1.00,1.00,0.55,0.34,0.83,0.65,0.25,0.20,0.55,0.30,0.30,0.34",46,0.70,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",8110000
bread mix for bread maker,Commercial,1600,"0.53,0.27,0.36,0.16,0.06,1.00,0.16,0.25,0.36,1.00,0.44,0.16",40,0.70,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Recipes, Related searches",46800000
breville custom loaf bread maker,"Informational, Transactional",1600,"0.04,0.03,0.03,0.15,0.15,0.08,1.00,0.66,0.15,0.19,0.10,0.05",39,0.30,1.00,"Reviews, Image, Image pack, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, Related products",70
amazon bread maker,Transactional,1300,"0.37,0.37,0.29,0.29,0.37,0.41,0.41,0.67,0.79,1.00,0.67,0.41",37,0.19,1.00,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",30900000
bread make it with u,"Informational, Transactional",1300,"0.07,0.24,0.16,0.16,0.13,0.29,0.10,0.05,0.03,0.19,0.01,1.00",49,0.00,0.00,"Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Related searches",456000000
bread make it you,"Informational, Transactional",1300,"0.36,0.36,0.36,0.36,0.05,0.27,0.24,0.27,0.27,0.44,0.52,1.00",46,0.00,0.00,"Video, People also ask, Knowledge panel, Related searches",929000000
bread maker machine oster,"Informational, Transactional",1300,"0.79,0.66,0.54,0.66,0.54,1.00,0.24,0.41,0.16,0.66,0.00,0.07",26,0.22,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",687000
bread maker reviews,Commercial,1300,"0.20,0.16,0.04,0.16,0.03,0.02,0.07,0.22,1.00,0.81,0.43,0.08",62,0.43,0.84,"Sitelinks, Image, Video, People also ask, Buying guide, Related searches, Popular products",71800000
bread maker top rated,Commercial,1300,"0.00,1.00,0.66,0.79,0.79,1.00,0.66,0.79,0.20,0.54,0.08,0.10",61,0.46,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Buying guide, Related searches, Popular products",212000000
cusinart bread maker,Commercial,1300,"0.67,0.30,0.05,0.67,1.00,0.51,0.47,0.67,1.00,0.84,0.84,0.07",39,0.24,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Shopping ads",5670000
elite gourmet bread maker,Commercial,1300,"0.30,0.30,0.30,0.24,0.30,0.34,0.34,0.44,0.55,1.00,1.00,0.65",32,0.16,1.00,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Related searches, Popular products",1490000
sunbeam bread maker,Commercial,1300,"1.00,0.82,0.55,0.62,0.82,0.62,0.82,1.00,1.00,0.82,1.00,0.82",26,0.22,0.99,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",977000
west bend bread maker,Commercial,1300,"0.55,1.00,0.80,0.80,0.62,0.80,0.62,1.00,1.00,1.00,1.00,0.44",25,0.21,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Recipes, Related searches, Popular products",1930000
bread band make it with you,"Informational, Transactional",1000,"0.05,0.24,0.16,0.16,0.13,0.00,0.10,0.05,0.03,0.19,0.01,1.00",40,0.00,0.00,"Video, People also ask, Knowledge panel, Related searches",61300000
bread maker machines,Commercial,1000,"0.22,0.20,0.13,0.08,0.20,0.08,1.00,0.29,0.16,0.16,0.20,0.13",50,0.24,1.00,"Sitelinks, Image, Video, People also ask, Buying guide, Discussions and forums, Related searches, Popular products",17200000
