Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
keurig coffee maker,Commercial,165000,"0.44,0.44,0.44,0.44,0.44,0.54,0.44,0.54,0.81,1.00,0.67,0.44",48,0.51,"Image, Video, People also ask, Related searches, Popular products, Things to know, Shopping ads",11600000
coffee maker,Commercial,110000,"0.55,0.55,1.00,0.44,0.44,0.55,0.55,0.66,1.00,1.00,0.66,0.66",75,0.47,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know",460000000
ninja coffee maker,Commercial,90500,"0.44,0.44,0.44,0.36,0.44,0.54,0.67,0.67,1.00,1.00,0.81,0.67",32,0.31,"Image, Video, People also ask, Related searches, Popular products",28400000
cuisinart coffee maker,"Informational, Transactional",60500,"0.66,0.54,0.54,0.54,0.81,0.54,0.54,0.54,0.81,1.00,0.81,0.54",54,0.40,"Image, Video, People also ask, Related searches, Popular products",8080000
bunn coffee maker,Transactional,27100,"0.54,0.44,0.54,0.36,0.54,0.44,0.54,0.44,0.54,1.00,0.81,0.54",40,0.37,"Image, Video, People also ask, Related searches, Popular products, Shopping ads",1620000
cold brew coffee maker,Commercial,22200,"0.54,0.54,0.67,0.54,0.54,0.54,1.00,0.67,0.81,1.00,1.00,0.54",56,0.64,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",31000000
smeg coffee maker,"Informational, Transactional",22200,"0.54,0.54,0.54,0.54,0.54,0.54,0.67,0.67,0.81,1.00,0.81,0.67",26,0.30,"Image, Video, People also ask, Related searches, Popular products",5500000
drip coffee maker,Commercial,18100,"0.66,0.54,0.66,0.81,1.00,0.66,0.81,1.00,1.00,0.81,0.81,1.00",61,0.37,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",46000000
iced coffee maker,Transactional,18100,"0.37,0.54,0.54,0.54,0.37,0.44,0.81,0.54,0.67,1.00,0.37,0.24",34,0.39,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",34000000
jura coffee maker,Commercial,14800,"0.44,0.36,0.44,0.44,0.54,0.44,0.54,0.54,0.81,1.00,0.66,0.66",49,0.34,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know",4290000
mr coffee maker,"Navigational, Transactional",14800,"0.54,0.54,0.54,0.44,0.54,0.54,0.44,0.44,0.44,0.81,1.00,0.54",41,0.20,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",252000000
pour over coffee maker,Commercial,14800,"0.54,0.54,0.66,0.81,0.81,0.43,0.54,0.66,0.66,1.00,0.81,0.81",46,0.35,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",62400000
coffee maker with grinder,Commercial,12100,"0.44,0.54,0.54,0.44,0.44,0.44,0.54,0.66,0.81,1.00,0.44,0.44",53,0.36,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",26200000
hamilton beach coffee maker,"Informational, Transactional",12100,"0.67,0.67,0.55,0.55,0.55,0.55,0.67,0.67,0.82,1.00,1.00,0.67",35,0.27,"Image, Video, People also ask, Related searches, Popular products, Things to know",8600000
k cup coffee maker,"Informational, Commercial",12100,"0.55,0.67,0.67,0.82,0.44,0.55,0.67,1.00,0.82,0.82,0.82,0.55",55,0.34,"Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know",67700000
nespresso coffee maker,"Informational, Transactional",12100,"0.81,0.56,1.00,0.67,1.00,0.81,0.36,0.44,1.00,0.67,0.56,0.44",66,0.35,"Image, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",29800000
single serve coffee maker,Commercial,12100,"0.81,0.67,0.67,0.67,0.67,0.67,0.67,0.54,1.00,1.00,1.00,0.67",51,0.34,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",58400000
miele coffee maker,"Informational, Transactional",9900,"0.67,0.55,0.67,0.55,1.00,0.82,0.82,0.82,1.00,1.00,0.82,0.67",32,0.66,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",4390000
single cup coffee maker,Commercial,9900,"0.54,0.54,0.54,0.54,0.44,0.54,0.66,0.66,0.81,0.81,1.00,0.54",59,0.34,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",79000000
black and decker coffee maker,"Informational, Transactional",8100,"1.00,0.82,1.00,0.67,0.67,1.00,1.00,0.82,1.00,1.00,1.00,0.67",33,0.24,"Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",90
french press coffee maker,Commercial,8100,"0.36,0.29,0.29,0.19,0.36,0.36,0.44,0.24,0.54,0.81,0.66,1.00",51,0.41,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know, Shopping ads",56200000
kuerig coffee maker,Commercial,8100,"0.67,1.00,0.35,0.67,0.54,0.44,1.00,0.35,0.67,1.00,0.67,0.00",49,0.51,"Image, Video, People also ask, Related searches, Popular products, Things to know",11700000
kurig coffee maker,Commercial,8100,"1.00,0.00,0.30,0.81,0.54,0.44,0.81,0.44,0.67,1.00,0.81,0.00",54,0.51,"Image, Video, People also ask, Related searches, Popular products, Things to know",11700000
oxo coffee maker,"Navigational, Transactional",8100,"0.36,0.44,0.36,0.29,1.00,0.54,0.36,0.44,0.54,0.66,0.54,0.36",53,0.34,"Sitelinks, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",2690000
aeropress coffee maker,"Informational, Transactional",6600,"0.67,0.55,0.44,0.67,1.00,1.00,0.55,0.55,1.00,0.82,0.67,0.44",45,0.42,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",3490000
breville coffee maker,"Informational, Transactional",6600,"0.67,0.67,0.35,0.54,0.54,0.35,0.67,0.67,1.00,1.00,0.81,0.44",39,0.19,"Image, Video, People also ask, Related searches, Popular products",11300000
keurig iced coffee maker,"Informational, Transactional",6600,"0.36,0.44,0.54,0.67,1.00,0.67,0.67,0.36,0.81,0.81,0.67,0.44",33,0.30,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",3170000
kitchenaid coffee maker,"Informational, Transactional",6600,"0.36,0.81,1.00,0.54,0.44,0.44,0.44,0.54,0.66,0.66,0.54,0.44",33,0.27,"Image, Video, Short videos, People also ask, Related searches, Popular products",18500000
makita coffee maker,"Informational, Transactional",6600,"0.82,0.55,1.00,0.55,0.36,0.67,0.36,0.44,0.55,0.44,0.36,0.24",51,0.18,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",1370000
mr coffee coffee maker,"Navigational, Transactional",6600,"0.44,0.36,0.54,0.30,0.36,0.44,0.36,0.44,0.44,0.44,1.00,0.23",47,0.20,"Sitelinks, Image, Video, Short videos, People also ask, Related searches, Popular products",69800000
small coffee maker,Transactional,6600,"0.81,0.54,0.54,0.66,0.66,0.66,0.54,0.81,1.00,1.00,0.81,0.66",46,0.31,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know",337000000
bonavita coffee maker,Commercial,5400,"0.82,0.55,0.66,0.82,1.00,0.66,0.43,0.66,0.82,0.82,0.55,0.66",33,0.31,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",97
braun coffee maker,"Informational, Transactional",5400,"0.67,0.67,0.67,0.54,0.54,0.54,0.54,0.67,0.81,1.00,0.81,0.54",32,0.24,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",8660000
drew barrymore coffee maker,Commercial,5400,"0.66,0.66,0.55,0.45,0.45,0.45,0.55,0.66,0.66,1.00,1.00,0.66",31,0.22,"Reviews, Video, People also ask, Related searches, Popular products",56
espresso coffee maker,Transactional,5400,"0.55,0.55,0.55,0.67,0.55,0.55,0.55,0.44,0.82,1.00,1.00,0.67",56,0.61,"Reviews, Image, Video, People also ask, Buying guide, Related searches, Popular products",70900000
grind and brew coffee maker,Commercial,5400,"0.54,0.67,0.67,0.44,0.67,0.54,0.67,0.67,1.00,1.00,0.54,0.44",46,0.36,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",7270000
italian coffee maker,Commercial,5400,"0.67,0.44,0.54,0.54,0.81,0.67,0.67,0.67,1.00,1.00,0.81,0.81",52,0.44,"Reviews, Image, Video, Short videos, People also ask, Buying guide, Related searches, Popular products",74700000
keurig single serve coffee maker,"Informational, Transactional",5400,"0.54,0.54,0.36,0.36,0.36,0.44,0.36,0.54,1.00,1.00,0.54,0.44",59,0.39,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",9890000
milwaukee coffee maker,"Informational, Commercial",5400,"0.40,0.20,0.70,1.00,0.20,0.40,0.20,0.30,0.30,0.40,0.30,0.20",28,0.17,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",4780000
mr coffee iced coffee maker,"Informational, Transactional",5400,"1.00,0.80,1.00,0.70,0.80,1.00,0.80,0.50,0.50,1.00,0.80,0.20",33,0.31,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products",5420000
mr coffee iced tea maker,"Informational, Transactional",5400,"0.54,0.81,0.66,1.00,0.66,0.81,0.54,0.29,0.66,0.54,0.44,0.29",45,0.26,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",88
walmart coffee maker,"Navigational, Transactional",5400,"1.00,0.81,1.00,0.66,0.15,0.23,0.54,0.36,0.23,0.23,0.19,0.19",32,0.23,"Sitelinks, Image, Video, Related searches, Popular products",26600000
camping coffee maker,Commercial,4400,"0.54,0.67,0.81,1.00,0.81,1.00,0.67,0.54,0.36,0.43,0.54,0.36",34,0.49,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",25100000
