Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
electric kettle,Commercial,49500,"0.54,0.36,0.44,0.36,0.44,0.44,0.44,0.54,0.81,1.00,0.66,0.54",65,0.34,1.00,"Image, Image pack, Video, People also ask, Buying guide, Related searches, Popular products",77600000
electric tea kettle,Commercial,18100,"0.36,0.29,0.24,0.36,0.29,0.29,0.24,0.29,0.54,1.00,0.54,0.36",61,0.33,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",29500000
chefman electric kettle,Transactional,4400,"1.00,0.81,0.81,0.81,0.54,0.81,0.67,0.81,1.00,1.00,1.00,0.54",28,0.17,1.00,"Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",87
electric kettles,Transactional,4400,"0.54,1.00,0.23,0.16,0.19,0.28,0.54,0.54,0.44,0.28,0.44,0.28",65,0.34,1.00,"Image, Image pack, Video, People also ask, Buying guide, Related searches, Popular products",112000000
electric water kettle,Commercial,4400,"0.44,0.36,0.36,0.36,0.28,0.36,0.36,0.44,0.67,1.00,0.67,0.44",60,0.31,1.00,"Image, Video, People also ask, Related searches, Popular products",92900000
electric tea kettles,Commercial,3600,"0.82,0.67,0.82,0.44,0.67,0.44,0.35,0.53,0.82,0.82,0.82,1.00",60,0.33,1.00,"Image, Video, People also ask, Related searches, Popular products",29800000
smeg electric kettle,"Navigational, Transactional",3600,"0.28,0.24,0.24,0.36,0.28,0.36,1.00,1.00,1.00,1.00,0.54,0.36",29,0.34,1.00,"Image, Video, People also ask, Related searches, Popular products",2670000
tea kettle electric,Transactional,3600,"0.44,0.44,0.20,0.20,0.12,0.23,0.44,0.44,0.82,1.00,0.82,0.44",63,0.34,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",30500000
electric kettle with temperature control,Commercial,2900,"0.43,0.36,0.36,0.24,0.24,0.19,0.36,0.36,0.81,0.81,1.00,0.66",37,0.37,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",11500000
bodum electric kettle,Transactional,2400,"0.53,0.44,0.44,0.44,0.36,0.44,0.53,0.67,1.00,1.00,1.00,0.67",33,0.25,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",932000
