Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
food storage containers,"Informational, Transactional",18100,"0.54,0.54,0.54,0.54,0.67,0.67,0.54,1.00,0.67,0.67,0.83,0.54",67,0.56,1.00,"Image, Video, People also ask, Buying guide, Related searches, Popular products",641000000
glass food storage containers,"Informational, Transactional",12100,"0.36,0.36,0.29,0.44,0.44,0.36,0.66,0.66,0.81,0.81,1.00,0.81",58,0.41,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",315000000
dog food storage container,Commercial,9900,"0.67,0.67,0.67,0.67,0.67,0.67,0.54,1.00,0.81,0.67,1.00,0.67",43,0.45,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",70000000
food storage containers with lids,"Informational, Transactional",8100,"0.54,0.66,0.54,0.54,0.66,0.54,0.81,0.66,0.81,0.81,1.00,0.54",63,0.57,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",43500000
food storage container,"Informational, Transactional",6600,"0.81,1.00,0.66,0.66,0.08,0.54,0.54,0.54,0.66,0.66,0.44,0.44",66,0.56,1.00,"Image, Video, People also ask, Buying guide, Related searches, Popular products",609000000
airtight food storage containers,Transactional,5400,"0.66,0.54,0.66,0.54,0.66,1.00,0.66,0.66,0.81,1.00,1.00,0.81",61,0.41,1.00,"Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know",100
glass food storage containers with lids,"Informational, Transactional",5400,"0.66,0.66,0.44,0.54,0.29,0.54,0.35,0.44,0.81,1.00,1.00,0.19",51,0.39,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",277000000
plastic food storage containers,"Informational, Transactional",5400,"0.81,0.54,0.66,0.66,0.66,0.54,0.66,0.35,0.66,0.81,1.00,0.54",62,0.62,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",150000000
pet food storage container,Transactional,4400,"1.00,0.67,1.00,1.00,0.82,0.82,0.67,0.67,0.53,0.67,0.67,0.67",39,0.40,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",72400000
dog food storage containers,Transactional,2900,"0.44,0.44,0.44,0.82,0.53,0.53,1.00,1.00,0.44,0.35,0.44,0.44",40,0.45,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",59300000
pet food storage containers,Transactional,2400,"0.81,0.65,0.54,0.43,1.00,0.54,0.43,0.36,0.43,0.65,0.54,0.81",42,0.40,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",74900000
food storage containers airtight,"Informational, Transactional",1900,"1.00,0.79,0.79,0.79,0.79,1.00,0.55,0.79,0.67,1.00,0.79,0.00",61,0.41,1.00,"Image, Video, People also ask, Related searches, Popular products",17400000
large food storage containers,"Informational, Transactional",1900,"0.65,0.55,0.65,0.65,0.65,0.65,0.65,0.82,0.82,1.00,0.65,0.55",60,0.64,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",162000000
glass food storage containers with glass lids,Commercial,1600,"0.83,1.00,0.45,0.45,0.34,0.34,0.45,0.55,0.31,0.45,0.45,0.45",25,0.39,1.00,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches, Popular products",41900000
kitchen food storage containers,"Informational, Transactional",1600,"0.30,0.08,0.55,1.00,0.55,0.44,0.44,0.65,0.82,1.00,1.00,0.13",64,0.46,1.00,"Image, Image pack, Video, People also ask, Buying guide, Related searches, Popular products",270000000
