Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD)
meat thermometer,Commercial,40500,"0.36,0.30,0.54,0.44,0.36,0.36,0.36,0.36,1.00,1.00,0.54,0.36",67,1.02
meater thermometer,"Informational, Transactional",9900,"0.19,0.15,0.19,0.37,0.24,0.19,0.30,0.30,0.54,1.00,0.19,0.13",53,1.14
wireless meat thermometer,"Informational, Transactional",9900,"0.13,0.10,0.13,0.20,0.16,0.13,0.13,0.20,0.54,1.00,0.20,0.13",53,0.77
bluetooth meat thermometer,Transactional,5400,"0.16,0.16,0.19,0.29,0.19,0.16,0.16,0.16,0.44,1.00,0.24,0.16",60,0.78
digital meat thermometer,Commercial,5400,"0.24,0.19,0.16,0.29,0.24,0.29,0.24,0.24,1.00,0.81,0.54,0.24",64,0.70
instant read meat thermometer,Commercial,4400,"0.67,0.44,0.54,0.67,0.67,0.54,0.44,0.54,0.81,1.00,0.54,0.54",72,0.63
meat thermometers for cooking,Commercial,3600,"0.36,0.29,0.29,0.19,0.29,0.19,0.24,0.29,0.81,1.00,0.19,0.00",65,1.02
good meat thermometer,Commercial,2900,"0.07,0.66,0.12,0.08,0.04,0.04,1.00,0.66,0.81,0.12,0.29,0.08",68,0.78
meat thermometer wireless,"Informational, Transactional",2900,"0.10,0.13,0.10,0.23,0.08,0.13,0.07,0.13,0.66,1.00,0.23,0.23",60,0.94
thermopro meat thermometer,"Informational, Transactional",2900,"0.35,0.44,0.30,0.67,0.53,0.53,0.81,0.67,1.00,0.81,0.30,0.35",30,0.66
meat thermometer near me,Transactional,1600,"0.44,0.34,0.44,0.44,0.55,0.34,0.44,0.44,1.00,1.00,0.44,0.34",40,0.56
meat thermometer probe,Transactional,1600,"0.24,0.24,0.44,0.44,0.52,0.36,0.44,0.66,0.80,1.00,0.44,0.24",65,0.82
meat thermometer walmart,"Informational, Transactional",1600,"0.36,0.36,0.27,0.44,0.53,0.05,0.06,0.53,1.00,0.80,0.53,0.27",41,0.20
meat thermometers,Commercial,1600,"0.36,0.36,0.67,0.27,0.27,0.27,0.20,0.27,0.53,1.00,0.53,0.27",76,1.02
taylor meat thermometer,"Informational, Transactional",1600,"0.36,0.27,0.36,0.27,0.44,0.36,0.36,0.44,0.80,1.00,0.52,0.27",29,0.57
wifi meat thermometer,Commercial,1600,"0.20,0.24,0.36,0.44,0.44,0.24,0.27,0.24,1.00,1.00,0.27,0.24",55,0.81
meat thermometer amazon,Transactional,1300,"0.45,0.34,0.34,0.34,0.45,0.45,0.45,0.25,0.45,1.00,0.55,0.31",38,0.68
digital meat cooking thermometer,Commercial,1000,"0.24,0.24,0.24,0.00,0.29,0.44,0.10,0.18,0.00,0.24,0.00,1.00",50,0.70
digital meat probe thermometer,Transactional,1000,"0.46,0.04,1.00,0.04,0.68,0.68,0.68,0.84,0.31,0.52,0.07,0.08",65,0.70
meat thermometer nearby,Transactional,1000,"0.02,0.03,0.04,0.08,0.10,0.07,0.04,0.08,1.00,0.44,0.16,0.13",31,0.51
meater meat thermometer,"Informational, Transactional",1000,"0.20,0.12,0.16,0.20,0.20,0.12,0.27,0.16,0.80,1.00,0.27,0.16",63,0.73
thermopro wireless meat thermometer,"Informational, Transactional",1000,"0.30,0.30,0.24,0.41,0.30,0.24,0.30,0.36,1.00,0.79,0.30,0.20",39,0.66
instant read meat thermometers,Commercial,880,"0.24,0.30,0.41,0.20,0.20,0.54,0.30,0.24,0.41,1.00,0.16,0.13",62,0.63
meat thermometer target,"Navigational, Transactional",880,"0.37,0.31,0.25,0.37,0.37,0.37,0.31,0.46,0.84,1.00,0.52,0.46",36,0.38
thermometer for meat cooking,Transactional,880,"1.00,0.84,0.68,0.00,0.84,0.00,0.25,0.37,0.31,0.00,0.00,0.00",70,1.02
thermoworks meat thermometer,"Informational, Transactional",880,"0.36,0.36,0.30,0.45,0.45,0.45,0.45,1.00,0.82,1.00,0.45,0.24",43,0.74
digital food meat thermometer,Commercial,720,"0.00,0.00,0.24,0.00,0.29,0.44,0.10,0.18,0.00,0.24,0.00,1.00",51,0.70
leave in meat thermometer,Commercial,720,"0.24,0.16,0.13,0.13,0.13,0.13,0.16,0.20,0.79,1.00,0.24,0.20",42,0.65
meat cooking thermometers,Transactional,720,"1.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.00",65,1.02
meat thermometer cooking,Commercial,720,"1.00,0.84,0.13,0.00,0.11,0.00,0.25,0.37,0.03,0.68,0.00,0.00",69,1.02
meat thermometer for smoker,"Informational, Transactional",720,"0.29,0.36,0.44,0.62,0.44,0.36,0.55,0.36,0.80,1.00,0.36,0.24",39,0.93
oven safe meat thermometer,Commercial,720,"0.16,0.13,0.11,0.11,0.08,0.11,0.13,0.13,0.65,1.00,0.30,0.24",24,0.59
smart meat thermometer,Commercial,720,"0.18,0.16,0.16,0.30,0.18,0.16,0.11,0.18,0.80,1.00,0.30,0.18",61,0.96
thermo pro meat thermometer,"Informational, Transactional",720,"0.16,0.20,0.10,0.20,0.20,0.13,0.20,0.24,0.41,1.00,0.41,0.00",34,0.66
thermopro meat thermometers,"Informational, Transactional",720,"0.13,0.16,0.13,0.37,0.20,0.11,0.25,0.46,0.37,1.00,1.00,0.20",24,0.66
walmart meat thermometer,"Navigational, Transactional",720,"0.20,0.16,0.16,0.25,0.06,1.00,1.00,0.10,0.38,0.68,0.38,0.30",37,0.20
wireless meat thermometers,"Informational, Transactional",720,"0.13,0.13,0.24,0.20,0.24,0.13,0.67,0.20,0.24,1.00,0.20,0.10",50,0.77
amazon meat thermometer,"Navigational, Transactional",590,"0.13,0.13,0.10,0.13,0.16,0.08,0.16,0.16,1.00,0.41,0.16,0.16",37,0.68
bluetooth meat thermometers,Commercial,590,"0.19,0.15,0.24,0.37,0.37,0.37,0.30,0.19,1.00,1.00,0.37,0.19",61,0.78
electronic meat thermometer,Transactional,590,"0.30,0.30,0.30,0.30,0.30,0.24,0.19,0.24,0.81,1.00,0.30,0.37",67,0.88
good cook meat thermometer,Commercial,590,"0.44,0.37,0.37,0.37,0.37,0.30,0.30,0.30,1.00,1.00,0.56,0.37",19,1.03
instant meat thermometer,Commercial,590,"0.36,0.30,0.45,0.55,0.36,0.36,0.45,0.36,0.76,1.00,0.55,0.45",70,0.71
meat probe thermometer,Commercial,590,"0.24,0.24,0.37,0.44,0.30,0.30,0.37,0.37,1.00,1.00,0.24,0.19",70,1.07
