Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
rice cooker,Commercial,165000,"0.67,0.54,0.67,0.67,0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.67",59,0.25,"Sitelinks, Image, Video, People also ask, Buying guide, Related searches, Popular products, Shopping ads",312000000
zojirushi rice cooker,Commercial,49500,"0.54,0.54,0.54,0.54,0.81,0.66,1.00,0.81,1.00,1.00,0.81,0.66",63,0.42,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",3280000
aroma rice cooker,"Informational, Transactional",33100,"0.81,0.81,0.66,0.66,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.66",51,0.14,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",17300000
cuckoo rice cooker,Commercial,22200,"0.29,0.24,0.29,0.29,1.00,0.44,0.29,0.36,0.44,0.44,0.44,0.36",33,0.34,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",2340000
tiger rice cooker,Commercial,14800,"0.66,0.66,0.81,0.81,0.66,0.81,0.66,0.66,0.81,1.00,0.66,0.81",39,0.22,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",100
toshiba rice cooker,"Informational, Transactional",9900,"0.01,0.10,0.19,0.19,0.44,0.24,0.29,0.19,0.67,0.54,0.67,1.00",28,0.25,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",98
mini rice cooker,Commercial,6600,"0.67,0.55,0.67,0.67,0.67,0.82,0.82,0.67,0.82,1.00,0.82,0.67",41,0.22,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products",251000000
small rice cooker,Commercial,6600,"0.66,0.66,0.66,0.81,0.81,0.81,0.81,0.66,1.00,1.00,1.00,0.66",38,0.20,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",267000000
stainless steel rice cooker,Commercial,6600,"0.24,0.24,0.19,0.24,0.36,0.44,0.66,0.44,0.54,1.00,0.54,0.44",23,0.28,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Shopping ads",47100000
japanese rice cooker,Commercial,5400,"0.44,0.54,0.54,0.44,0.81,0.81,0.54,0.66,1.00,0.54,0.54,0.54",44,0.32,"Sitelinks, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products, Things to know",97700000
rice cooker walmart,"Informational, Transactional",5400,"0.23,1.00,0.67,0.23,0.67,1.00,0.28,0.44,0.54,1.00,0.28,0.23",34,0.22,"Image, Video, People also ask, Related searches, Popular products",13400000
aroma rice cooker manual,"Informational, Transactional",4400,"0.54,0.44,0.29,0.54,0.54,0.54,0.54,0.54,0.54,0.54,1.00,0.66",16,0.02,"Image pack, Video, People also ask, Related searches",1530000
good rice cooker,Commercial,4400,"0.10,0.16,0.04,0.10,0.02,0.36,0.10,0.66,0.12,1.00,0.03,0.04",62,0.41,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",302000000
microwave rice cooker,"Informational, Transactional",4400,"0.53,0.53,0.53,1.00,0.82,0.67,1.00,1.00,1.00,0.67,1.00,0.44",34,0.21,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",78200000
walmart rice cooker,"Informational, Transactional",4400,"0.44,0.29,0.19,1.00,0.36,0.44,0.54,0.54,0.44,0.29,0.29,0.36",34,0.22,"Image, Video, People also ask, Related searches, Popular products",12100000
panasonic rice cooker,"Informational, Transactional",3600,"0.08,0.06,0.08,0.29,0.12,0.19,1.00,0.54,0.10,0.12,0.12,0.10",20,0.25,"Image, Video, People also ask, Related searches, Popular products",6970000
tiger brand rice cooker,"Informational, Transactional",3600,"0.19,0.29,1.00,0.54,0.13,0.29,0.19,0.16,0.24,0.66,0.19,0.66",36,0.22,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",93
black and decker rice cooker,"Informational, Transactional",2900,"0.65,0.54,0.65,0.65,0.65,0.65,1.00,0.65,0.81,0.81,0.81,0.65",36,0.23,"Image, Video, Short videos, People also ask, Related searches, Popular products",92
oster rice cooker,"Navigational, Transactional",2900,"1.00,0.83,1.00,1.00,1.00,0.83,0.83,0.83,0.83,0.83,1.00,0.83",26,0.19,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",97
rice cooker in sale,Transactional,2900,"0.10,0.10,0.07,0.10,0.16,0.16,0.10,0.13,1.00,0.66,0.54,0.00",34,0.29,"Image, Image pack, Video, People also ask, Related searches, Popular products",44600000
rice cooker zojirushi,"Informational, Transactional",2900,"0.24,0.18,0.18,0.15,0.18,0.18,0.18,0.24,1.00,0.55,0.24,0.24",59,0.31,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",3170000
tatung rice cooker,"Informational, Transactional",2900,"0.43,0.54,0.54,0.54,0.65,0.54,0.65,1.00,0.81,1.00,0.81,0.65",25,0.38,"Sitelinks, Video, People also ask, Related searches, Popular products",73
dash rice cooker,"Informational, Transactional",2400,"0.67,0.67,0.53,0.53,0.80,0.80,0.67,0.53,0.53,0.80,1.00,0.67",29,0.18,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products, Shopping ads",15500000
ninja rice cooker,"Informational, Transactional",2400,"0.36,0.36,0.36,0.36,1.00,1.00,0.43,0.54,0.65,0.65,0.65,0.54",36,0.23,"Reviews, Image, Video, People also ask, Recipes, Related searches, Popular products",35500000
stainless rice cooker,"Informational, Transactional",2400,"0.04,0.02,0.03,0.03,0.15,0.28,1.00,0.15,1.00,0.81,0.66,0.81",20,0.28,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",47000000
target rice cooker,"Navigational, Transactional",2400,"0.67,0.80,0.67,0.80,0.67,0.67,0.80,0.25,0.67,0.80,1.00,0.36",40,0.21,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",13400000
amazon rice cooker,"Navigational, Transactional",1900,"0.55,0.83,0.65,0.83,0.45,0.55,0.83,0.83,0.65,1.00,0.83,0.55",33,0.24,"Image, Video, People also ask, Related searches, Popular products",48700000
aroma professional rice cooker,"Informational, Transactional",1900,"0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.82,1.00,0.82",30,0.23,"Image, Video, People also ask, Related searches, Popular products",81
ceramic rice cooker,Commercial,1900,"0.27,0.27,0.27,0.27,0.80,1.00,0.52,0.44,0.66,0.66,0.66,0.52",35,0.35,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",24500000
cosori rice cooker,"Informational, Transactional",1900,"0.41,1.00,1.00,0.66,0.79,0.66,0.41,0.66,0.66,1.00,0.79,0.54",38,0.27,"Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",3230000
dash mini rice cooker,"Informational, Transactional",1900,"0.65,0.55,0.55,0.45,0.55,0.55,0.55,0.55,0.83,1.00,0.65,0.65",38,0.19,"Sitelinks, Reviews, Video, Short videos, People also ask, Knowledge panel, Related searches, Popular products",7530000
hamilton beach rice cooker,"Informational, Transactional",1900,"0.55,0.55,0.65,0.55,0.55,0.55,0.55,0.44,0.82,1.00,0.55,0.65",17,0.26,"Image, Image pack, Video, People also ask, Related searches, Popular products",2010000
