Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
slow cooker,Commercial,49500,"0.36,0.36,0.36,0.36,0.44,0.54,0.66,1.00,1.00,0.81,0.66,0.54",55,0.25,"Sitelinks, Image, Video, People also ask, Recipes, Buying guide, Related searches, Popular products",664000000
ninja slow cooker,Commercial,9900,"0.24,0.19,0.16,0.24,0.24,0.16,0.29,0.54,1.00,0.81,0.44,0.36",48,0.23,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Recipes, Related searches, Popular products",41900000
greenpan slow cooker,Commercial,5400,"0.10,0.07,0.05,0.04,0.08,0.08,0.66,1.00,0.81,0.36,0.54,0.36",35,0.35,"Image, Video, People also ask, Discussions and forums, Related searches",100
hamilton beach slow cooker,"Informational, Transactional",4400,"0.44,0.36,0.36,0.36,0.23,0.44,0.44,0.54,1.00,1.00,0.81,0.44",21,0.26,"Image, Video, People also ask, Related searches, Popular products",8130000
4 quart slow cooker,"Informational, Transactional",3600,"0.23,0.23,0.23,0.10,0.16,0.23,0.54,0.66,1.00,0.81,0.44,0.12",19,0.26,"Reviews, Image, Video, People also ask, Related searches, Popular products",25200000
10 quart slow cooker,"Informational, Commercial",2900,"0.19,0.13,0.07,0.07,0.24,0.29,0.29,0.24,1.00,0.81,0.16,0.16",29,0.28,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",96
4 qt slow cooker,"Informational, Transactional",2900,"0.35,0.35,0.53,0.16,0.24,0.53,0.44,1.00,0.66,0.66,0.35,0.81",16,0.26,"Image, Video, People also ask, Related searches, Popular products",21600000
all clad slow cooker,Commercial,2900,"0.44,0.29,0.29,0.24,0.29,0.35,0.44,0.66,0.81,1.00,0.81,0.53",19,0.30,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",5480000
slow cooker cookbook,Commercial,2900,"0.24,0.10,0.16,0.36,0.24,0.16,1.00,0.19,0.36,0.44,0.29,0.07",32,0.16,"Sitelinks, Image, Video, Recipes, Discussions and forums, Related searches, Popular products",115000000
target slow cooker,"Navigational, Transactional",2900,"0.53,0.29,0.29,0.44,0.29,0.29,0.44,0.82,1.00,1.00,0.67,0.35",33,0.23,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",68400000
volkswagen bus slow cooker,Commercial,2900,"1.00,0.10,0.06,0.03,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.12",24,0.00,"Image, Video, Related searches",60
vw bus slow cooker,Commercial,2900,"1.00,0.10,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.05",24,0.00,"Image, Image pack, Video, Related searches",55
west bend slow cooker,"Informational, Transactional",2900,"0.44,0.44,0.35,0.35,0.35,0.35,0.53,0.53,0.81,1.00,0.81,0.35",22,0.25,"Image, Video, People also ask, Related searches, Popular products",89
2 qt slow cooker,"Informational, Transactional",2400,"0.06,0.20,0.23,0.20,0.16,0.30,0.23,0.30,0.54,1.00,0.23,0.10",26,0.23,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",19500000
3 quart slow cooker,"Informational, Transactional",2400,"0.24,0.18,0.24,0.24,0.35,0.29,0.29,0.81,1.00,0.66,0.66,0.13",30,0.23,"Image, Video, People also ask, Related searches, Popular products",100
6 qt slow cooker,Commercial,2400,"0.28,0.19,0.19,0.15,0.15,0.19,0.24,0.43,0.54,1.00,0.19,0.24",30,0.24,"Reviews, Image, Video, People also ask, Related searches, Popular products",82
6 quart slow cooker,"Informational, Transactional",2400,"0.23,0.16,0.16,0.12,0.12,0.16,0.23,0.19,1.00,0.44,0.54,0.16",44,0.24,"Image, Video, People also ask, Related searches, Popular products",91
crock a pot slow cooker,"Navigational, Transactional",2400,"1.00,0.44,0.00,0.00,0.08,0.44,0.00,0.00,0.00,0.00,0.00,0.00",30,0.23,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Recipes, Buying guide, Related searches, Popular products",50000000
cuisinart slow cooker,"Informational, Transactional",2400,"0.52,0.36,0.36,0.36,0.52,0.44,0.52,0.66,1.00,1.00,1.00,0.52",21,0.36,"Reviews, Image, Video, People also ask, Recipes, Explore brands, Related searches, Popular products",7060000
large slow cooker,"Informational, Transactional",2400,"0.35,0.24,0.18,0.18,0.18,0.24,0.53,0.66,0.81,1.00,0.81,0.44",59,0.27,"Image, People also ask, Related searches",447000000
non toxic slow cooker,Commercial,2400,"0.18,0.18,0.13,0.16,0.18,0.44,0.44,1.00,0.66,0.53,0.81,0.53",13,0.52,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",33300000
rival slow cooker,Commercial,2400,"0.43,0.36,0.81,0.16,0.22,0.36,0.81,0.43,1.00,1.00,0.81,0.22",23,0.27,"Image, Video, People also ask, Related searches, Popular products",84
slow cooker liners,Commercial,2400,"0.28,0.24,0.19,0.19,0.19,0.24,0.28,0.28,0.54,0.81,1.00,0.43",34,0.22,"Sitelinks, Video, People also ask, Related searches, Popular products",6670000
slow cooker pot,"Informational, Transactional",2400,"1.00,0.24,0.01,0.00,0.08,0.00,0.08,0.03,0.04,0.10,0.01,0.03",52,0.23,"Image, Video, People also ask, Recipes, Buying guide, Related searches, Popular products",400000000
small slow cooker,Commercial,2400,"0.29,0.24,0.24,0.29,0.07,0.29,0.44,0.44,0.81,1.00,0.66,0.35",53,0.23,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",532000000
volkswagen slow cooker,Commercial,2400,"1.00,0.09,0.05,0.02,0.02,0.00,0.00,0.02,0.02,0.02,0.00,0.12",24,0.00,"Image, Video, Related searches",85
10 qt slow cooker,"Informational, Commercial",1900,"0.54,0.54,0.29,0.22,0.43,0.20,0.22,0.29,1.00,0.43,0.36,0.36",29,0.28,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",19100000
2 quart slow cooker,"Informational, Transactional",1900,"0.08,0.19,0.24,0.13,0.19,0.24,0.19,0.36,1.00,0.36,0.36,0.19",26,0.23,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Recipes, Related searches, Popular products",99
3 qt slow cooker,"Informational, Transactional",1900,"0.19,0.19,0.24,0.13,0.15,0.36,0.19,0.19,1.00,0.36,0.43,0.10",25,0.23,"Image, Video, People also ask, Related searches, Popular products",20100000
8 qt slow cooker,Commercial,1900,"0.28,0.07,0.15,0.15,0.08,0.19,0.10,0.54,1.00,0.36,0.36,0.81",29,0.27,"Reviews, Image, Video, People also ask, Related searches, Popular products",94
8 quart slow cooker,"Informational, Transactional",1900,"0.35,0.16,0.18,0.13,0.16,0.03,0.44,0.81,0.44,1.00,0.24,0.03",11,0.27,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",96
