Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
stand mixer,"Informational, Transactional",49500,"0.45,0.30,0.36,0.24,0.30,0.36,0.36,0.36,0.67,1.00,0.45,0.36",65,0.24,"Image, Video, People also ask, Buying guide, Related searches, Popular products",164000000
kitchenaid stand mixer,"Navigational, Transactional",40500,"0.36,0.30,0.30,0.24,0.36,0.36,0.24,0.36,0.81,1.00,0.36,0.30",63,0.35,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products",26700000
kitchen aid stand mixer,"Navigational, Transactional",9900,"0.66,0.36,0.36,0.18,0.55,0.45,0.36,0.30,0.66,1.00,0.66,0.30",65,0.35,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products",26700000
kitchen aide stand mixer,Commercial,5400,"0.44,0.01,0.30,0.67,0.44,0.67,0.23,0.44,0.67,0.67,1.00,0.01",61,0.35,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know",27000000
standing mixer,Commercial,4400,"0.66,1.00,0.55,0.66,0.28,0.28,0.34,0.45,1.00,1.00,0.66,0.45",63,0.24,"Image, Video, People also ask, Related searches, Popular products, Things to know",193000000
cuisinart stand mixer,"Informational, Transactional",3600,"0.36,0.36,0.30,0.30,0.43,0.30,0.30,0.36,1.00,1.00,0.55,0.36",26,0.23,"Reviews, Image, Video, People also ask, Related searches, Popular products",3920000
stand mixer paddle attachment,"Informational, Commercial",3600,"0.23,0.19,0.23,0.23,0.15,0.29,0.15,0.15,0.29,0.44,1.00,0.36",36,0.17,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",7040000
kitchenaid stand mixer attachments,"Informational, Transactional",2900,"0.36,0.29,0.36,0.29,0.29,0.29,0.24,0.36,0.55,1.00,0.67,0.55",57,0.18,"Image, Video, Short videos, People also ask, Related searches, Popular products",11500000
kitchenaide stand mixer,Commercial,2900,"0.44,0.01,0.12,0.05,0.00,0.54,0.44,0.67,0.44,1.00,0.54,0.05",63,0.35,"Image, Video, People also ask, Related searches, Popular products, Shopping ads",27600000
wood bowl stand mixer,"Informational, Commercial",2900,"1.00,1.00,0.67,0.67,0.67,1.00,0.67,0.00,0.03,0.03,0.00,0.00",48,0.23,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",12900000
ankarsrum stand mixer,Commercial,2400,"0.24,0.18,0.18,0.16,0.18,0.81,0.29,0.44,0.66,1.00,0.53,0.44",29,0.37,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Explore brands, Related searches, Popular products",484000
kitchenaid artisan stand mixer,Transactional,2400,"0.20,0.20,0.20,0.15,0.20,0.20,0.20,0.20,0.82,1.00,0.35,0.15",69,0.39,"Reviews, Image, Video, People also ask, Related searches, Popular products",9240000
kitchenaid professional 5 stand mixer,"Informational, Transactional",2400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,1.00,0.19,0.00",36,0.22,"Reviews, Video, People also ask, Knowledge panel, Related searches",2290000
stand mixer kitchenaid,"Informational, Transactional",2400,"0.24,0.24,0.24,0.19,0.19,0.24,0.24,0.28,0.67,1.00,0.35,0.28",59,0.30,"Image, Video, People also ask, Related searches, Popular products",24000000
bosch stand mixer,"Informational, Commercial",1900,"0.24,0.24,0.18,0.18,0.18,0.24,0.24,0.24,0.81,1.00,0.66,0.29",33,0.38,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Explore brands, Related searches, Popular products",6910000
hamilton beach stand mixer,"Informational, Transactional",1900,"0.29,0.15,0.29,0.12,0.29,0.29,0.24,0.44,0.67,1.00,0.44,0.35",34,0.22,"Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products",2170000
kitchenaid 5.5 quart bowl-lift stand mixer,"Informational, Transactional",1900,"0.35,0.29,0.35,0.11,0.18,0.15,0.29,0.24,0.82,1.00,0.24,0.24",53,0.60,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products",117000
kitchenaid 6 quart bowl-lift stand mixer,"Informational, Transactional",1900,"0.24,0.53,0.29,0.13,0.29,0.18,0.24,0.66,1.00,0.53,0.24,0.18",40,0.47,"Sitelinks, Video, Short videos, People also ask, Knowledge panel, Related searches, Popular products",657000
kitchenaid stand mixer sale,Transactional,1900,"0.67,0.42,0.50,0.42,0.42,0.33,0.33,0.67,0.67,1.00,0.42,0.25",54,0.40,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",8820000
paddle attachment for stand mixer,"Informational, Commercial",1900,"0.36,0.28,0.24,0.13,0.15,0.13,0.19,0.24,0.24,1.00,0.10,0.05",38,0.17,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",98
