Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
toaster oven,Commercial,90500,"0.54,0.44,0.54,0.54,0.54,0.54,0.54,0.54,0.81,1.00,0.67,0.54",57,0.28,"Reviews, Image, Video, People also ask, Buying guide, Related searches, Popular products, Shopping ads",95600000
and toaster oven,"Informational, Transactional",27100,"0.44,0.36,0.54,0.36,0.54,0.54,0.54,0.54,0.54,0.81,1.00,0.00",62,0.28,"Image, Image pack, Video, People also ask, Related searches, Popular products",61500000
breville toaster oven,"Informational, Transactional",22200,"0.44,0.44,0.36,0.44,0.54,0.44,0.54,0.66,1.00,0.66,0.54,0.44",57,0.48,"Sitelinks, Image, Video, Short videos, People also ask, Related searches, Popular products",5240000
air fryer toaster oven,Commercial,18100,"0.44,0.30,0.30,0.44,0.30,0.54,1.00,1.00,0.67,0.67,0.36,0.20",60,0.33,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",50600000
toaster oven air fryer,Commercial,18100,"0.55,0.55,0.55,0.67,0.44,0.55,0.82,0.82,1.00,0.82,0.82,0.82",60,0.35,"Sitelinks, Reviews, Image, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",49500000
cuisinart air fryer toaster oven,"Informational, Transactional",12100,"0.66,0.55,0.45,0.36,0.45,0.55,0.55,0.66,1.00,1.00,0.55,0.45",45,0.32,"Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know",98
toaster ovens,Commercial,12100,"1.00,0.81,0.67,0.36,0.44,0.44,0.36,0.23,0.36,0.67,0.81,0.30",58,0.28,"Reviews, Image, Video, People also ask, Buying guide, Related searches, Popular products, Shopping ads",38500000
black and decker toaster oven,"Informational, Transactional",9900,"0.67,0.67,0.67,0.67,0.67,0.54,0.54,0.54,0.81,1.00,0.54,0.54",30,0.26,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products",85
cuisinart toaster oven,"Informational, Transactional",8100,"0.44,0.44,0.44,0.44,0.44,0.54,0.66,0.54,1.00,0.81,0.54,0.54",47,0.30,"Reviews, Image, Video, People also ask, Related searches, Popular products",5700000
oster toaster oven,Commercial,8100,"0.81,0.67,1.00,0.81,1.00,0.81,0.81,0.81,1.00,1.00,0.81,0.81",39,0.22,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",95
ninja toaster oven,"Informational, Transactional",5400,"0.19,0.36,0.28,0.44,0.44,0.44,0.44,0.54,1.00,0.81,0.67,0.54",36,0.25,"Image, Video, People also ask, Related searches, Popular products",12500000
hamilton beach toaster oven,"Informational, Transactional",4400,"0.67,0.67,0.54,0.67,0.67,0.67,0.81,0.67,0.81,1.00,0.81,0.54",27,0.28,"Reviews, Image, Video, People also ask, Related searches, Popular products",2650000
microwave toaster oven combo,Commercial,4400,"0.54,0.43,0.66,0.66,0.43,1.00,0.54,0.66,0.81,0.54,0.54,0.54",30,0.34,"Sitelinks, Reviews, Image, Video, People also ask, Explore brands, Related searches, Popular products",11200000
walmart toaster oven,"Informational, Transactional",4400,"0.67,0.67,0.54,0.67,0.81,0.54,0.67,0.81,1.00,0.67,0.81,0.24",35,0.25,"Image, Image pack, Video, Related searches, Popular products",11400000
breville toaster oven air fryer,"Informational, Transactional",3600,"0.55,0.36,0.36,0.44,0.55,0.44,0.55,0.55,1.00,0.82,0.82,0.55",60,0.47,"Video, People also ask, Knowledge panel, Related searches, Popular products",3290000
cuisinart toaster oven air fryer,"Informational, Transactional",3600,"0.50,0.81,0.44,0.44,0.50,0.50,0.50,0.63,1.00,0.81,0.50,0.44",44,0.33,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products",4150000
microwave and toaster oven combo,Commercial,3600,"0.43,0.54,0.19,0.19,1.00,1.00,0.43,0.19,1.00,0.54,0.66,0.28",36,0.34,"Sitelinks, Reviews, Image, Video, People also ask, Explore brands, Related searches, Popular products",10400000
ninja toaster oven air fryer,"Informational, Transactional",3600,"0.53,0.44,0.53,0.44,0.44,0.53,0.53,0.67,1.00,1.00,0.81,0.67",37,0.27,"Sitelinks, Image pack, Video, Short videos, People also ask, Knowledge panel, Related searches, Popular products",96
oven toaster,"Informational, Transactional",3600,"0.45,0.34,0.28,0.45,0.83,0.83,1.00,0.83,0.83,0.55,0.55,0.28",52,0.26,"Reviews, Image, Video carousel, People also ask, Discussions and forums, Explore brands, Related searches, Popular products, Things to know",273000000
small toaster oven,Commercial,3600,"1.00,1.00,0.65,0.81,1.00,0.81,1.00,1.00,1.00,0.81,1.00,0.54",37,0.24,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",72500000
toaster & oven,"Informational, Transactional",3600,"0.00,0.00,1.00,0.54,0.54,0.44,0.54,0.81,0.44,0.00,0.54,0.00",46,0.28,"Sitelinks, Reviews, Image, Image pack, Video carousel, People also ask, Related searches, Popular products, Things to know",136000000
convection toaster oven,Commercial,2900,"0.54,0.54,0.54,0.43,0.65,0.65,0.54,0.54,1.00,0.65,0.54,0.65",43,0.31,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",28900000
cuisinart digital air fryer toaster oven,"Informational, Transactional",2900,"0.81,0.35,0.24,0.30,0.35,1.00,1.00,0.44,0.67,0.54,0.30,0.19",42,0.32,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products",93
kitchenaid toaster oven,"Informational, Transactional",2900,"0.80,0.80,0.67,0.67,0.67,0.67,0.53,0.80,1.00,0.80,0.67,0.67",42,0.28,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",6320000
ninja air fryer toaster oven,"Navigational, Transactional",2900,"0.23,0.19,0.23,0.23,0.23,0.23,0.29,0.35,1.00,0.66,0.44,0.35",47,0.29,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",97
air fryer toaster oven combo,Commercial,2400,"0.42,0.23,0.42,0.36,0.55,0.42,0.42,0.36,1.00,1.00,1.00,0.82",59,0.35,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",86
airfryer toaster oven,Commercial,2400,"0.53,0.14,0.36,0.53,0.28,0.53,0.64,0.28,0.81,0.64,1.00,0.53",63,0.33,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",62200000
black and decker toaster ovens,"Informational, Transactional",2400,"0.67,0.44,0.67,0.67,0.53,0.44,0.20,0.67,1.00,0.67,0.44,0.00",43,0.26,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",88
breville air fryer toaster oven,Commercial,2400,"0.35,0.15,0.15,0.12,0.67,0.35,0.18,0.24,1.00,1.00,0.44,0.35",62,0.49,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",3060000
breville smart toaster oven,"Informational, Transactional",2400,"0.44,0.53,0.18,0.53,0.24,0.53,0.66,0.24,0.66,1.00,0.24,0.24",55,0.32,"Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products",4110000
combination toaster oven and microwave,Commercial,2400,"0.81,0.54,0.13,0.08,1.00,1.00,0.54,0.54,0.81,0.65,0.29,0.13",34,0.34,"Sitelinks, Image, Image pack, Video, People also ask, Explore brands, Related searches, Popular products",9960000
mini toaster oven,Commercial,2400,"1.00,0.66,0.66,0.66,0.83,1.00,0.83,1.00,0.83,1.00,0.66,0.83",36,0.25,"Reviews, Image, Video, Related searches, Popular products",80300000
small toaster ovens,Commercial,2400,"0.67,0.44,1.00,0.24,0.44,0.80,0.53,0.80,0.67,1.00,0.67,0.05",37,0.24,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",40600000
toaster oven microwave combo,Commercial,2400,"1.00,0.81,0.18,0.53,0.81,0.29,0.35,0.35,0.16,0.81,0.24,0.18",29,0.34,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",10100000
toaster oven walmart,"Informational, Transactional",2400,"1.00,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1.00,1.00,1.00,0.66",33,0.25,"Reviews, Image, Video, People also ask, Related searches, Popular products",10900000
wolf toaster oven,"Informational, Transactional",2400,"0.36,0.29,0.29,0.36,0.43,0.54,0.81,1.00,0.65,0.81,0.54,0.36",34,0.53,"Reviews, Image, Video, People also ask, Related searches, Popular products",1940000
amazon toaster oven,"Navigational, Transactional",1900,"0.67,0.44,0.27,0.10,1.00,0.53,0.36,0.67,0.67,0.80,0.36,0.00",33,0.23,"Reviews, Image, Video, People also ask, Related searches, Popular products",26700000
